group,folder,accuracy,recall,TP,TN,FP,FN
high,run01-theme01-ic6-ec6,100.0,100.0,11,9,0,0
high,run01-theme02-ic6-ec6,95.0,100.0,19,0,1,0
high,run01-theme03-ic6-ec6,90.0,87.5,7,11,1,1
high,run01-theme04-ic6-ec6,90.0,100.0,9,9,2,0
high,run01-theme05-ic6-ec6,75.0,100.0,1,14,5,0
high,run01-theme06-ic6-ec6,100.0,0.0,0,20,0,0
high,run02-theme01-ec6-ec6,100.0,100.0,10,10,0,0
high,run02-theme02-ec6-ec6,95.0,100.0,18,1,1,0
high,run02-theme03-ec6-ec6,80.0,100.0,5,11,4,0
high,run02-theme04-ec6-ec6,95.0,100.0,11,8,1,0
high,run02-theme05-ec6-ec6,100.0,100.0,1,19,0,0
high,run02-theme06-ec6-ec6,100.0,100.0,2,18,0,0
low,run01-theme01-ic6-ec6,80.0,63.64,7,9,0,4
low,run01-theme02-ic6-ec6,80.0,84.21,16,0,1,3
low,run01-theme03-ic6-ec6,75.0,50.0,4,11,1,4
low,run01-theme04-ic6-ec6,75.0,66.67,6,9,2,3
low,run01-theme05-ic6-ec6,75.0,100.0,1,14,5,0
low,run01-theme06-ic6-ec6,100.0,0.0,0,20,0,0
low,run02-theme01-ec6-ec6,95.0,90.0,9,10,0,1
low,run02-theme02-ec6-ec6,70.0,72.22,13,1,1,5
low,run02-theme03-ec6-ec6,80.0,100.0,5,11,4,0
low,run02-theme04-ec6-ec6,95.0,100.0,11,8,1,0
low,run02-theme05-ec6-ec6,100.0,100.0,1,19,0,0
low,run02-theme06-ec6-ec6,95.0,50.0,1,18,0,1
